Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size
31-Dec-20,City,NJ New Jersey,3400100 ABSECON CITY,8,Summary of All HUD Programs,1,NA,NJ ABSECON CITY,3400100,93,86,82,100,6,6,2.2,179,425,765,16936,7758,7,12,34,15,32,27,2,71,26,94,66,2,46,90,45,38,83,28,1,54,24,21,1,80,68,-1,1,20,1,9,1,11,1,15,122,80,147,30,49,21,13,13,42,51,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400100 ABSECON CITY,8,Housing Choice Vouchers,3,NA,NJ ABSECON CITY,3400100,76,83,66,100,5,8,2.5,163,446,871,17692,7164,9,15,26,12,38,32,3,65,26,92,62,3,58,92,56,32,67,21,2,61,26,12,2,91,77,-1,-1,9,2,11,2,14,2,15,131,98,148,14,61,26,17,16,49,42,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400100 ABSECON CITY,8,Project Based Section 8,5,NA,NJ ABSECON CITY,3400100,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400100 ABSECON CITY,8,811/PRAC,9,NA,NJ ABSECON CITY,3400100,16,97,15,97,6,-1,1.0,15,317,328,13096,13096,-1,-1,73,27,-1,-1,-1,100,23,100,87,-1,-1,80,-1,100,100,100,-1,27,13,60,-1,33,27,-1,7,67,-1,-1,-1,0,0,-1,79,-1,-1,100,-1,-1,-1,2,15,88,NA,NA,00100,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400640 ALLAMUCHY CDP,8,Summary of All HUD Programs,1,NA,NJ ALLAMUCHY CDP,3400640,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00640,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400640 ALLAMUCHY CDP,8,Housing Choice Vouchers,3,NA,NJ ALLAMUCHY CDP,3400640,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00640,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400700 ALLENDALE BOROUGH,8,Summary of All HUD Programs,1,NA,NJ ALLENDALE BOROUGH,3400700,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00700,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400700 ALLENDALE BOROUGH,8,Housing Choice Vouchers,3,NA,NJ ALLENDALE BOROUGH,3400700,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00700,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400850 ALLOWAY CDP,8,Summary of All HUD Programs,1,NA,NJ ALLOWAY CDP,3400850,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00850,NA,NA,NJ,NA,NA
31-Dec-20,City,NJ New Jersey,3400850 ALLOWAY CDP,8,Housing Choice Vouchers,3,NA,NJ ALLOWAY CDP,3400850,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,NA,NA,00850,NA,NA,NJ,NA,NA
